0,1,2,3,4
a,"('i0', 'i1')",mul,elu,89.64342948717949
b,"('i0', ('i0', 'i1'))",sub,elu,89.64342948717949
c,"(('i0', 'i1'), ('i0', ('i0', 'i1')))",sub,elu,89.64342948717949
d,"('i1', (('i0', 'i1'), ('i0', ('i0', 'i1'))))",add,sigmoid,89.64342948717949
e,"(('i0', 'i1'), ('i1', (('i0', 'i1'), ('i0', ('i0', 'i1')))))",mul,softsign,89.64342948717949
f,"('i0', (('i0', 'i1'), ('i1', (('i0', 'i1'), ('i0', ('i0', 'i1'))))))",mul,softsign,89.64342948717949
g,"(('i0', ('i0', 'i1')), (('i0', 'i1'), ('i1', (('i0', 'i1'), ('i0', ('i0', 'i1'))))))",sub,softsign,89.64342948717949
h,"('i0', ('i0', (('i0', 'i1'), ('i1', (('i0', 'i1'), ('i0', ('i0', 'i1')))))))",sub,elu,89.64342948717949
a,"('i0', 'i1')",mul,elu,88.5516826923077
b,"('i0', ('i0', 'i1'))",mul,sigmoid,88.5516826923077
c,"('i0', ('i0', ('i0', 'i1')))",mul,sigmoid,88.5516826923077
d,"('i1', ('i0', ('i0', ('i0', 'i1'))))",add,elu,88.5516826923077
e,"('i1', ('i1', ('i0', ('i0', ('i0', 'i1')))))",sub,sigmoid,88.5516826923077
f,"(('i0', 'i1'), ('i0', ('i0', 'i1')))",mul,softsign,88.5516826923077
g,"(('i0', 'i1'), ('i0', ('i0', ('i0', 'i1'))))",sub,softsign,88.5516826923077
h,"(('i0', 'i1'), ('i1', ('i1', ('i0', ('i0', ('i0', 'i1'))))))",mul,softsign,88.5516826923077
a,"('i0', 'i1')",add,softsign,89.1826923076923
b,"('i0', ('i0', 'i1'))",sub,sigmoid,89.1826923076923
c,"('i1', ('i0', 'i1'))",add,sigmoid,89.1826923076923
d,"(('i0', 'i1'), ('i0', ('i0', 'i1')))",mul,softsign,89.1826923076923
e,"(('i0', 'i1'), (('i0', 'i1'), ('i0', ('i0', 'i1'))))",add,softsign,89.1826923076923
f,"('i1', ('i1', ('i0', 'i1')))",sub,softsign,89.1826923076923
g,"((('i0', 'i1'), (('i0', 'i1'), ('i0', ('i0', 'i1')))), ('i1', ('i1', ('i0', 'i1'))))",mul,elu,89.1826923076923
h,"(('i0', ('i0', 'i1')), ('i1', ('i0', 'i1')))",add,elu,89.1826923076923
a,"('i0', 'i1')",mul,sigmoid,88.43149038461539
b,"('i0', ('i0', 'i1'))",mul,elu,88.43149038461539
c,"('i1', ('i0', 'i1'))",add,elu,88.43149038461539
d,"(('i0', 'i1'), ('i1', ('i0', 'i1')))",mul,elu,88.43149038461539
e,"('i1', (('i0', 'i1'), ('i1', ('i0', 'i1'))))",mul,softsign,88.43149038461539
f,"('i1', ('i1', (('i0', 'i1'), ('i1', ('i0', 'i1')))))",mul,softsign,88.43149038461539
g,"((('i0', 'i1'), ('i1', ('i0', 'i1'))), ('i1', (('i0', 'i1'), ('i1', ('i0', 'i1')))))",sub,softsign,88.43149038461539
h,"('i1', ('i1', ('i1', (('i0', 'i1'), ('i1', ('i0', 'i1'))))))",add,softsign,88.43149038461539
