0,0,1,2,3,4
0,0,"('a', 'b')",elu,mul,83.4735576923077
1,1,"('a', ('a', 'b'))",elu,add,83.4735576923077
2,2,"('b', ('a', ('a', 'b')))",elu,mul,83.4735576923077
3,3,"(('a', 'b'), ('b', ('a', ('a', 'b'))))",softsign,div,83.4735576923077
4,4,"(('a', 'b'), ('a', ('a', 'b')))",elu,sub,83.4735576923077
5,5,"('b', ('b', ('a', ('a', 'b'))))",elu,mul,83.4735576923077
0,0,"('a', 'b')",elu,mul,9.795673076923077
1,1,"('b', ('a', 'b'))",elu,sub,9.795673076923077
2,2,"('a', ('a', 'b'))",elu,div,9.795673076923077
3,3,"('b', ('b', ('a', 'b')))",elu,add,9.795673076923077
4,4,"(('a', 'b'), ('a', ('a', 'b')))",elu,sub,9.795673076923077
5,5,"(('b', ('a', 'b')), (('a', 'b'), ('a', ('a', 'b'))))",sigmoid,sub,9.795673076923077
0,0,"('a', 'b')",sigmoid,add,85.90745192307692
1,1,"('a', ('a', 'b'))",elu,div,85.90745192307692
2,2,"('a', ('a', ('a', 'b')))",sigmoid,sub,85.90745192307692
3,3,"(('a', 'b'), ('a', ('a', ('a', 'b'))))",sigmoid,sub,85.90745192307692
4,4,"('b', ('a', 'b'))",sigmoid,div,85.90745192307692
5,5,"('b', (('a', 'b'), ('a', ('a', ('a', 'b')))))",softsign,div,85.90745192307692
0,0,"('a', 'b')",sigmoid,div,9.815705128205128
1,1,"('b', ('a', 'b'))",elu,div,9.815705128205128
2,2,"(('a', 'b'), ('b', ('a', 'b')))",sigmoid,mul,9.815705128205128
3,3,"('a', (('a', 'b'), ('b', ('a', 'b'))))",sigmoid,sub,9.815705128205128
4,4,"(('b', ('a', 'b')), (('a', 'b'), ('b', ('a', 'b'))))",sigmoid,mul,9.815705128205128
5,5,"('a', ('a', 'b'))",sigmoid,div,9.815705128205128
0,0,"('a', 'b')",elu,add,89.98397435897436
1,1,"('b', ('a', 'b'))",sigmoid,sub,89.98397435897436
2,2,"(('a', 'b'), ('b', ('a', 'b')))",elu,add,89.98397435897436
3,3,"(('b', ('a', 'b')), (('a', 'b'), ('b', ('a', 'b'))))",sigmoid,sub,89.98397435897436
4,4,"('b', (('b', ('a', 'b')), (('a', 'b'), ('b', ('a', 'b')))))",elu,div,89.98397435897436
5,5,"(('a', 'b'), (('b', ('a', 'b')), (('a', 'b'), ('b', ('a', 'b')))))",softsign,mul,89.98397435897436
0,0,"('a', 'b')",elu,div,9.815705128205128
1,1,"('a', ('a', 'b'))",elu,sub,9.815705128205128
2,2,"('a', ('a', ('a', 'b')))",elu,add,9.815705128205128
